Year,Units,Territorio,Value
2010,Porcentaje,ES,0.04
2010,Porcentaje,ES53,0.29
2011,Porcentaje,ES,0.06
2011,Porcentaje,ES53,0.06
2012,Porcentaje,ES,0.03
2012,Porcentaje,ES53,0.13
2013,Porcentaje,ES,0.02
2013,Porcentaje,ES53,0.15
2014,Porcentaje,ES,0.02
2014,Porcentaje,ES53,0.08
2015,Porcentaje,ES,0.02
2015,Porcentaje,ES53,0.22
2016,Porcentaje,ES,0.02
2016,Porcentaje,ES53,0.26
2017,Porcentaje,ES,0.02
2017,Porcentaje,ES53,0.22
2018,Porcentaje,ES,0.02
2018,Porcentaje,ES53,0.69
2019,Porcentaje,ES,0.06
2019,Porcentaje,ES53,0.23
2020,Porcentaje,ES,0.03
2020,Porcentaje,ES53,0.52
2021,Porcentaje,ES,0.05
2021,Porcentaje,ES53,0.55
2022,Porcentaje,ES,0.01
2022,Porcentaje,ES53,0.21
2023,Porcentaje,ES,0.03
