Year,Units,Territorio,Value
2011,Porcentaje,ES,99.42
2011,Porcentaje,ES53,99.3
2011,Porcentaje,ES531_071,99.12
2011,Porcentaje,ES531_072,99.32
2011,Porcentaje,ES532,99.3
2011,Porcentaje,ES533,99.32
2021,Porcentaje,ES,99.76
2021,Porcentaje,ES53,99.63
2021,Porcentaje,ES531_072,99.11
2021,Porcentaje,ES532,99.7
2021,Porcentaje,ES533,99.84
