Year,Units,Territorio,Value
2010,Por 100.000 habitantes,ES,5.02
2010,Por 100.000 habitantes,ES53,5.79
2010,Por 100.000 habitantes,ES531_071,0.0
2010,Por 100.000 habitantes,ES531_072,7.7
2010,Por 100.000 habitantes,ES532,5.62
2010,Por 100.000 habitantes,ES533,5.36
2011,Por 100.000 habitantes,ES,4.53
2011,Por 100.000 habitantes,ES53,4.75
2011,Por 100.000 habitantes,ES531_071,19.21
2011,Por 100.000 habitantes,ES531_072,6.81
2011,Por 100.000 habitantes,ES532,4.31
2011,Por 100.000 habitantes,ES533,4.26
2012,Por 100.000 habitantes,ES,4.09
2012,Por 100.000 habitantes,ES53,5.52
2012,Por 100.000 habitantes,ES531_071,0.0
2012,Por 100.000 habitantes,ES531_072,8.85
2012,Por 100.000 habitantes,ES532,4.98
2012,Por 100.000 habitantes,ES533,6.37
2013,Por 100.000 habitantes,ES,3.88
2013,Por 100.000 habitantes,ES53,3.77
2013,Por 100.000 habitantes,ES531_071,25.67
2013,Por 100.000 habitantes,ES531_072,4.29
2013,Por 100.000 habitantes,ES532,3.69
2013,Por 100.000 habitantes,ES533,1.06
2014,Por 100.000 habitantes,ES,4.03
2014,Por 100.000 habitantes,ES53,5.0
2014,Por 100.000 habitantes,ES531_071,0.0
2014,Por 100.000 habitantes,ES531_072,8.42
2014,Por 100.000 habitantes,ES532,5.04
2014,Por 100.000 habitantes,ES533,0.0
2015,Por 100.000 habitantes,ES,4.05
2015,Por 100.000 habitantes,ES53,4.69
2015,Por 100.000 habitantes,ES531_071,7.94
2015,Por 100.000 habitantes,ES531_072,5.52
2015,Por 100.000 habitantes,ES532,4.55
2015,Por 100.000 habitantes,ES533,4.3
2016,Por 100.000 habitantes,ES,4.07
2016,Por 100.000 habitantes,ES53,4.55
2016,Por 100.000 habitantes,ES531_071,7.79
2016,Por 100.000 habitantes,ES531_072,3.38
2016,Por 100.000 habitantes,ES532,5.06
2016,Por 100.000 habitantes,ES533,1.07
2017,Por 100.000 habitantes,ES,4.18
2017,Por 100.000 habitantes,ES53,4.92
2017,Por 100.000 habitantes,ES531_071,7.66
2017,Por 100.000 habitantes,ES531_072,8.63
2017,Por 100.000 habitantes,ES532,4.44
2017,Por 100.000 habitantes,ES533,3.2
2018,Por 100.000 habitantes,ES,4.06
2018,Por 100.000 habitantes,ES53,3.66
2018,Por 100.000 habitantes,ES531_071,7.46
2018,Por 100.000 habitantes,ES531_072,4.58
2018,Por 100.000 habitantes,ES532,3.39
2018,Por 100.000 habitantes,ES533,4.2
2019,Por 100.000 habitantes,ES,3.91
2019,Por 100.000 habitantes,ES53,4.17
2019,Por 100.000 habitantes,ES531_071,30.03
2019,Por 100.000 habitantes,ES531_072,4.48
2019,Por 100.000 habitantes,ES532,3.97
2019,Por 100.000 habitantes,ES533,2.06
2020,Por 100.000 habitantes,ES,3.09
2020,Por 100.000 habitantes,ES53,2.96
2020,Por 100.000 habitantes,ES531_071,0.0
2020,Por 100.000 habitantes,ES531_072,1.89
2020,Por 100.000 habitantes,ES532,3.39
2020,Por 100.000 habitantes,ES533,1.02
2021,Por 100.000 habitantes,ES,3.38
2021,Por 100.000 habitantes,ES53,3.94
2021,Por 100.000 habitantes,ES531_071,0.0
2021,Por 100.000 habitantes,ES531_072,5.01
2021,Por 100.000 habitantes,ES532,3.69
2021,Por 100.000 habitantes,ES533,5.04
2022,Por 100.000 habitantes,ES,3.8
2022,Por 100.000 habitantes,ES53,3.67
2022,Por 100.000 habitantes,ES531_071,8.69
2022,Por 100.000 habitantes,ES531_072,5.08
2022,Por 100.000 habitantes,ES532,3.54
2022,Por 100.000 habitantes,ES533,2.04
