Year,Units,Territorio,Value
2014,Porcentaje,ES,10.73
2014,Porcentaje,ES53,11.11
2015,Porcentaje,ES,7.35
2015,Porcentaje,ES53,10.26
2016,Porcentaje,ES,8.49
2016,Porcentaje,ES53,9.75
2017,Porcentaje,ES,8.34
2017,Porcentaje,ES53,7.49
2018,Porcentaje,ES,8.70
2018,Porcentaje,ES53,2.89
2019,Porcentaje,ES,7.67
2019,Porcentaje,ES53,3.69
2020,Porcentaje,ES,8.51
2020,Porcentaje,ES53,6.75
2021,Porcentaje,ES,8.29
2021,Porcentaje,ES53,6.08
2022,Porcentaje,ES,7.73
2022,Porcentaje,ES53,5.54
2023,Porcentaje,ES,9.00
2023,Porcentaje,ES53,6.12
