Year,Units,Territorio,Value
2017,Porcentaje,ES,94.84
2018,Porcentaje,ES,95.55
2019,Porcentaje,ES,94.75
2020,Porcentaje,ES,94.31
2021,Porcentaje,ES,93.39
2021,Porcentaje,ES53,74.86
2022,Porcentaje,ES,95.25
2023,Porcentaje,ES,92.85
2023,Porcentaje,ES53,83.83
