Year,Units,Territorio,Value
2012,Por 100.000,ES,9.41
2012,Por 100.000,ES53,8.02
2013,Por 100.000,ES,9.42
2013,Por 100.000,ES53,6.34
2014,Por 100.000,ES,8.90
2014,Por 100.000,ES53,7.40
2015,Por 100.000,ES,8.39
2015,Por 100.000,ES53,6.46
2016,Por 100.000,ES,8.16
2016,Por 100.000,ES53,8.89
2017,Por 100.000,ES,7.25
2017,Por 100.000,ES53,8.28
2018,Por 100.000,ES,7.33
2018,Por 100.000,ES53,9.05
2019,Por 100.000,ES,7.30
2019,Por 100.000,ES53,3.77
2020,Por 100.000,ES,5.92
2020,Por 100.000,ES53,4.57
2021,Por 100.000,ES,5.71
2021,Por 100.000,ES53,5.58
2022,Por 100.000,ES,5.57
2022,Por 100.000,ES53,3.99
