Year,Units,Territorio,Value
2010,Porcentaje,ES,99.94
2010,Porcentaje,ES53,99.94
2010,Porcentaje,ES531_071,100.00
2010,Porcentaje,ES531_072,100.00
2010,Porcentaje,ES532,99.93
2010,Porcentaje,ES533,100.00
2011,Porcentaje,ES,99.94
2011,Porcentaje,ES53,99.93
2011,Porcentaje,ES531_071,100.00
2011,Porcentaje,ES531_072,99.78
2011,Porcentaje,ES532,99.96
2011,Porcentaje,ES533,99.89
2012,Porcentaje,ES,99.94
2012,Porcentaje,ES53,99.87
2012,Porcentaje,ES531_071,99.14
2012,Porcentaje,ES531_072,99.64
2012,Porcentaje,ES532,99.91
2012,Porcentaje,ES533,100.00
2013,Porcentaje,ES,99.93
2013,Porcentaje,ES53,99.97
2013,Porcentaje,ES531_071,100.00
2013,Porcentaje,ES531_072,99.78
2013,Porcentaje,ES532,100.00
2013,Porcentaje,ES533,100.00
2014,Porcentaje,ES,99.93
2014,Porcentaje,ES53,99.93
2014,Porcentaje,ES531_071,100.00
2014,Porcentaje,ES531_072,99.86
2014,Porcentaje,ES532,99.96
2014,Porcentaje,ES533,99.86
2015,Porcentaje,ES,99.92
2015,Porcentaje,ES53,99.95
2015,Porcentaje,ES531_071,100.00
2015,Porcentaje,ES531_072,99.85
2015,Porcentaje,ES532,99.96
2015,Porcentaje,ES533,100.00
2016,Porcentaje,ES,99.93
2016,Porcentaje,ES53,99.92
2016,Porcentaje,ES531_071,99.11
2016,Porcentaje,ES531_072,99.81
2016,Porcentaje,ES532,99.95
2016,Porcentaje,ES533,100.00
2017,Porcentaje,ES,99.93
2017,Porcentaje,ES53,99.92
2017,Porcentaje,ES531_071,100.00
2017,Porcentaje,ES531_072,99.85
2017,Porcentaje,ES532,99.94
2017,Porcentaje,ES533,99.86
2018,Porcentaje,ES,99.92
2018,Porcentaje,ES53,99.97
2018,Porcentaje,ES531_071,100.00
2018,Porcentaje,ES531_072,99.93
2018,Porcentaje,ES532,99.98
2018,Porcentaje,ES533,100.00
2019,Porcentaje,ES,99.93
2019,Porcentaje,ES53,99.94
2019,Porcentaje,ES531_071,100.00
2019,Porcentaje,ES531_072,99.64
2019,Porcentaje,ES532,99.99
2019,Porcentaje,ES533,100.00
2020,Porcentaje,ES,99.93
2020,Porcentaje,ES53,99.92
2020,Porcentaje,ES531_071,100.00
2020,Porcentaje,ES531_072,99.60
2020,Porcentaje,ES532,99.97
2020,Porcentaje,ES533,99.85
2021,Porcentaje,ES,99.93
2021,Porcentaje,ES53,99.94
2021,Porcentaje,ES531_071,100.00
2021,Porcentaje,ES531_072,99.84
2021,Porcentaje,ES532,99.97
2021,Porcentaje,ES533,99.69
2022,Porcentaje,ES,99.91
2022,Porcentaje,ES53,99.92
2022,Porcentaje,ES531_071,100.00
2022,Porcentaje,ES531_072,99.59
2022,Porcentaje,ES532,99.99
2022,Porcentaje,ES533,99.84
