Year,Units,Territorio,Serie,Serie temporal,Umbral de pobreza,Value
2019.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.49
2019.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,18.12
2020.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.71
2020.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.66
2021.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,20.61
2021.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,17.52
2022.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.39
2022.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,16.98
2023.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,18.29
2023.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,18.8
2010.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.63
2010.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,22.14
2011.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.82
2011.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.9
2012.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.98
2012.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,20.61
2013.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.69
2013.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.5
2014.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.88
2014.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.38
2015.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.51
2015.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,21.99
2016.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.81
2016.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,15.97
2017.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.69
2017.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,23.77
2018.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.14
2018.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,12.8
2019.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.59
2019.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,14.8
2020.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,18.65
2020.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,16.06
2021.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,19.12
2021.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,20.17
2022.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.75
2022.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,15.25
2023.0,Porcentaje,ES,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,17.37
2023.0,Porcentaje,ES53,Serie C,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral nacional de pobreza,15.42
2010.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.78
2010.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,21.64
2011.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,16.9
2011.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.9
2012.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.72
2012.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,20.61
2013.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.11
2013.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.31
2014.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.78
2014.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,19.02
2015.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,18.43
2015.0,Porcentaje,ES53,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,24.58
2016.0,Porcentaje,ES,Serie D,Proporción de personas en riesgo de pobreza relativa con alquiler imputado según umbral de pobreza,Umbral autonómico de pobreza,17.97
