Year,Units,Territorio,Value
2011,Porcentaje,ES53,22.73
2014,Porcentaje,ES53,23.03
2017,Porcentaje,ES53,23.09
2011,Porcentaje,ES,23.95
2014,Porcentaje,ES,22.98
2017,Porcentaje,ES,22.08
2020,Porcentaje,ES,19.78
2020,Porcentaje,ES53,20.54
